frame,score
frame_000410.png,0.399653
frame_000411.png,0.468131
frame_000412.png,0.461674
frame_000413.png,0.491074
frame_000414.png,0.434115
frame_000415.png,0.486019
frame_000416.png,0.481044
frame_000417.png,0.503708
frame_000418.png,0.433355
frame_000419.png,0.482674
frame_000420.png,0.481256
frame_000421.png,0.484049
frame_000422.png,0.437905
frame_000423.png,0.490814
frame_000424.png,0.475532
frame_000425.png,0.500158
frame_000426.png,0.445235
frame_000427.png,0.502631
frame_000428.png,0.493918
frame_000429.png,0.509715
frame_000430.png,0.458069
frame_000431.png,0.505415
frame_000432.png,0.502317
frame_000433.png,0.517625
frame_000434.png,0.463862
frame_000435.png,0.509772
frame_000436.png,0.497608
frame_000437.png,0.519809
frame_000438.png,0.483875
frame_000439.png,0.541892
frame_000440.png,0.524570
frame_000441.png,0.553432
frame_000442.png,0.483447
frame_000443.png,0.543189
frame_000444.png,0.552650
frame_000445.png,0.558223
frame_000446.png,0.510241
frame_000447.png,0.567404
frame_000448.png,0.557315
frame_000449.png,0.565041
frame_000450.png,0.514763
frame_000451.png,0.573758
frame_000452.png,0.551869
frame_000453.png,0.586852
frame_000454.png,0.518794
frame_000455.png,0.575615
frame_000456.png,0.573453
frame_000457.png,0.593443
frame_000458.png,0.541472
frame_000459.png,0.594651
frame_000460.png,0.590361
frame_000461.png,0.608538
frame_000462.png,0.553619
frame_000463.png,0.609074
frame_000464.png,0.618949
frame_000465.png,0.604427
frame_000466.png,0.579761
frame_000467.png,0.621258
frame_000468.png,0.595704
frame_000469.png,0.595976
frame_000470.png,0.580704
frame_000471.png,0.617826
frame_000472.png,0.617085
frame_000473.png,0.638681
frame_000474.png,0.583449
frame_000475.png,0.628970
frame_000476.png,0.607984
frame_000477.png,0.624803
frame_000478.png,0.574742
frame_000479.png,0.611728
frame_000480.png,0.628474
frame_000481.png,0.650530
frame_000482.png,0.584485
frame_000483.png,0.625370
frame_000484.png,0.619842
frame_000485.png,0.649209
frame_000486.png,0.584527
frame_000487.png,0.641269
frame_000488.png,0.626860
frame_000489.png,0.657753
frame_000490.png,0.610401
frame_000491.png,0.647459
frame_000492.png,0.643281
frame_000493.png,0.654377
frame_000494.png,0.594882
frame_000495.png,0.644701
frame_000496.png,0.649927
frame_000497.png,0.678088
frame_000498.png,0.637012
frame_000499.png,0.604560
frame_000500.png,1.214940
frame_000501.png,0.599363
frame_000502.png,0.635604
frame_000503.png,0.644425
frame_000504.png,0.628681
frame_000505.png,0.648860
frame_000506.png,0.660214
frame_000507.png,0.704213
frame_000508.png,0.629404
frame_000509.png,0.679842
frame_000510.png,0.689192
frame_000511.png,0.705675
frame_000512.png,0.646858
frame_000513.png,0.697770
frame_000514.png,0.682344
frame_000515.png,0.726890
frame_000516.png,0.641657
frame_000517.png,0.700610
frame_000518.png,0.720963
frame_000519.png,0.748181
frame_000520.png,0.674537
frame_000521.png,0.743000
frame_000522.png,0.754095
frame_000523.png,0.753266
frame_000524.png,0.708194
frame_000525.png,0.746229
frame_000526.png,0.741854
frame_000527.png,0.778594
frame_000528.png,0.711074
frame_000529.png,0.757255
frame_000530.png,0.753289
frame_000531.png,0.779334
frame_000532.png,0.745341
frame_000533.png,0.774782
frame_000534.png,0.779641
